status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,gender,n_guarantors,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,martial Status,telephone,is_foreign_worker,secondary_obligor,actual,predicted,prob_bad,correct
< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),571,< 100 DM,>= 7 years,4,male,1,4,none,65,none,own,2,skilled employee/ official,single,none,yes,none,good,good,17.462901154929316,YES
< 0 DM,24,delay in paying off in the past,car (new),1333,< 100 DM,unemployed,4,male,2,2,none,43,none,for free,2,skilled employee/ official,single,none,yes,none,bad,bad,65.50770640813455,YES
< 0 DM,6,existing credits paid back duly till now,car (new),1203,100 to < 500 DM,>= 7 years,3,male,1,2,car,43,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,bad,48.775655343589634,NO
< 0 DM,24,existing credits paid back duly till now,car (new),1207,< 100 DM,< 1 year,4,female,1,4,car,24,none,rent,1,skilled employee/ official,divorced/separated/married,none,yes,none,bad,bad,84.20347803644299,YES
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,< 100 DM,< 1 year,4,male,1,1,savings agreement/life insurance,22,bank,for free,1,skilled employee/ official,single,none,yes,none,good,good,27.866259084557953,YES
0 to < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,< 100 DM,< 1 year,2,female,1,1,none,26,none,rent,2,unemployed/ unskilled - non-resident,divorced/separated/married,none,yes,none,bad,bad,65.50390167887429,YES
>= 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,1271,unknown/ no savings account,1 to < 4 years,3,male,1,4,savings agreement/life insurance,39,none,for free,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,bad,bad,38.5080330846894,YES
0 to < 200 DM,39,critical account/ other credits existing (not at this bank),radio/television,4933,< 100 DM,4 to < 7 years,2,male,1,2,none,25,none,own,2,skilled employee/ official,single,none,yes,guarantor,bad,bad,65.50218344328357,YES
< 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1433,< 100 DM,1 to < 4 years,4,female,1,3,car,25,none,rent,2,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,30.348046057500454,YES
no checking account,12,all credits at this bank paid back duly,retraining,3447,500 to < 1000 DM,1 to < 4 years,4,female,2,3,none,35,none,own,1,unskilled - resident,divorced/separated/married,none,yes,none,good,bad,46.435196020764465,NO
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2473,< 100 DM,unemployed,4,male,1,1,real estate,25,none,own,1,unemployed/ unskilled - non-resident,single,none,yes,none,bad,bad,65.50558551667743,YES
no checking account,24,existing credits paid back duly till now,radio/television,1533,< 100 DM,< 1 year,4,female,1,3,real estate,38,stores,own,1,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,19.263437001266947,YES
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,>= 1000 DM,>= 7 years,2,male,1,2,real estate,34,none,own,1,skilled employee/ official,single,none,yes,none,good,good,3.3939326045825946,YES
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,3622,>= 1000 DM,>= 7 years,4,female,1,4,car,57,none,rent,2,skilled employee/ official,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.076675327126518,YES
< 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 to < 7 years,2,male,1,2,none,24,none,own,1,unskilled - resident,single,none,no,co-applicant,good,good,14.065135816399899,YES
no checking account,24,existing credits paid back duly till now,car (new),1393,< 100 DM,1 to < 4 years,2,male,1,2,none,31,none,own,1,skilled employee/ official,single,"yes, registered under the customers name",yes,guarantor,good,good,8.66762917704834,YES
< 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,< 100 DM,4 to < 7 years,1,male,1,4,none,39,none,own,2,unskilled - resident,single,none,no,none,good,good,8.022555278672847,YES
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,522,500 to < 1000 DM,>= 7 years,4,male,2,4,car,42,none,own,2,skilled employee/ official,single,"yes, registered under the customers name",yes,none,good,good,7.32669370222714,YES
>= 200 DM,21,existing credits paid back duly till now,car (new),2923,100 to < 500 DM,1 to < 4 years,1,female,1,1,real estate,28,bank,own,1,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,14.068169246600329,YES
< 0 DM,15,existing credits paid back duly till now,car (new),1721,< 100 DM,< 1 year,2,male,1,3,none,36,none,own,1,skilled employee/ official,single,none,yes,none,good,bad,50.0,NO
no checking account,6,delay in paying off in the past,business,1743,100 to < 500 DM,1 to < 4 years,1,male,1,2,none,34,none,own,2,unskilled - resident,single,none,yes,none,good,good,6.025656529736934,YES
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,>= 7 years,4,female,1,4,savings agreement/life insurance,52,none,for free,1,management/ self-employed/highly qualified employee,divorced/separated/married,"yes, registered under the customers name",yes,none,good,good,10.708078307129492,YES
>= 200 DM,15,existing credits paid back duly till now,education,1905,< 100 DM,>= 7 years,4,male,1,4,real estate,40,none,rent,1,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,good,good,30.6879865574661,YES
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,>= 7 years,4,male,1,2,real estate,35,none,own,1,skilled employee/ official,single,none,yes,none,good,good,4.814923420244883,YES
no checking account,12,critical account/ other credits existing (not at this bank),business,2292,< 100 DM,unemployed,4,male,1,2,real estate,42,stores,own,2,management/ self-employed/highly qualified employee,single,"yes, registered under the customers name",yes,none,bad,bad,61.90771104305624,YES
< 0 DM,10,existing credits paid back duly till now,radio/television,2315,< 100 DM,>= 7 years,3,male,1,4,none,52,none,own,1,unskilled - resident,single,none,yes,none,good,good,14.072207573197327,YES
no checking account,15,existing credits paid back duly till now,car (new),5324,500 to < 1000 DM,>= 7 years,1,female,1,4,savings agreement/life insurance,35,none,for free,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,14.074712386110802,YES
no checking account,6,delay in paying off in the past,radio/television,932,< 100 DM,1 to < 4 years,3,female,1,2,none,24,none,own,1,skilled employee/ official,divorced/separated/married,none,yes,none,good,good,14.065572706150375,YES
